Circuit,Class,Constructor,Country,Rider,Season,Class_Clean,Country_Full
Phillip Island,250cc,Gilera,IT,Marco Simoncelli,2009,250cc,ITALY
Estoril Circuit,MotoGP™,Yamaha,ES,Jorge Lorenzo,2009,MotoGP,SPAIN
Estoril Circuit,125cc,Derbi,ES,Pol Espargaro,2009,125cc,SPAIN
Estoril Circuit,250cc,Gilera,IT,Marco Simoncelli,2009,250cc,ITALY
Misano World Circuit Marco Simoncelli,250cc,Aprilia,ES,Hector Barbera,2009,250cc,SPAIN
Misano World Circuit Marco Simoncelli,MotoGP™,Yamaha,IT,Valentino Rossi,2009,MotoGP,ITALY
Misano World Circuit Marco Simoncelli,125cc,Aprilia,ES,Julian Simon,2009,125cc,SPAIN
Indianapolis Motor Speedway,MotoGP™,Yamaha,ES,Jorge Lorenzo,2009,MotoGP,SPAIN
Indianapolis Motor Speedway,125cc,Derbi,ES,Pol Espargaro,2009,125cc,SPAIN
Indianapolis Motor Speedway,250cc,Gilera,IT,Marco Simoncelli,2009,250cc,ITALY
Automotodrom Brno,125cc,Aprilia,ES,Nicolas Terol,2009,125cc,SPAIN
Automotodrom Brno,250cc,Gilera,IT,Marco Simoncelli,2009,250cc,ITALY
Automotodrom Brno,MotoGP™,Yamaha,IT,Valentino Rossi,2009,MotoGP,ITALY
Donington Park,250cc,Honda,JP,Hiroshi Aoyama,2009,250cc,JAPAN
Donington Park,MotoGP™,Honda,IT,Andrea Dovizioso,2009,MotoGP,ITALY
Donington Park,125cc,Aprilia,ES,Julian Simon,2009,125cc,SPAIN
Sachsenring,250cc,Gilera,IT,Marco Simoncelli,2009,250cc,ITALY
Sachsenring,125cc,Aprilia,ES,Julian Simon,2009,125cc,SPAIN
Sachsenring,MotoGP™,Yamaha,IT,Valentino Rossi,2009,MotoGP,ITALY
Mazda Raceway,MotoGP™,Honda,ES,Dani Pedrosa,2009,MotoGP,SPAIN
TT Circuit Assen,MotoGP™,Yamaha,IT,Valentino Rossi,2009,MotoGP,ITALY
TT Circuit Assen,250cc,Honda,JP,Hiroshi Aoyama,2009,250cc,JAPAN
TT Circuit Assen,125cc,Aprilia,ES,Sergio Gadea,2009,125cc,SPAIN
Circuit de Barcelona-Catalunya,125cc,Aprilia,IT,Andrea Iannone,2009,125cc,ITALY
Circuit de Barcelona-Catalunya,MotoGP™,Yamaha,IT,Valentino Rossi,2009,MotoGP,ITALY
Circuit de Barcelona-Catalunya,250cc,Aprilia,ES,Alvaro Bautista,2009,250cc,SPAIN
Autodromo Internazionale del Mugello,125cc,Aprilia,GB,Bradley Smith,2009,125cc,GREAT BRITAIN
Autodromo Internazionale del Mugello,MotoGP™,Ducati,AU,Casey Stoner,2009,MotoGP,AUSTRALIA
Autodromo Internazionale del Mugello,250cc,Aprilia,IT,Mattia Pasini,2009,250cc,ITALY
Le Mans,250cc,Gilera,IT,Marco Simoncelli,2009,250cc,ITALY
Le Mans,MotoGP™,Yamaha,ES,Jorge Lorenzo,2009,MotoGP,SPAIN
Le Mans,125cc,Aprilia,ES,Julian Simon,2009,125cc,SPAIN
Circuito de Jerez - Angel Nieto,MotoGP™,Yamaha,IT,Valentino Rossi,2009,MotoGP,ITALY
Circuito de Jerez - Angel Nieto,125cc,Aprilia,GB,Bradley Smith,2009,125cc,GREAT BRITAIN
Circuito de Jerez - Angel Nieto,250cc,Honda,JP,Hiroshi Aoyama,2009,250cc,JAPAN
Mobility Resort Motegi,MotoGP™,Yamaha,ES,Jorge Lorenzo,2009,MotoGP,SPAIN
Mobility Resort Motegi,250cc,Aprilia,ES,Alvaro Bautista,2009,250cc,SPAIN
Mobility Resort Motegi,125cc,Aprilia,IT,Andrea Iannone,2009,125cc,ITALY
Lusail International Circuit,250cc,Aprilia,ES,Hector Barbera,2009,250cc,SPAIN
Lusail International Circuit,125cc,Aprilia,IT,Andrea Iannone,2009,125cc,ITALY
Lusail International Circuit,MotoGP™,Ducati,AU,Casey Stoner,2009,MotoGP,AUSTRALIA
Circuit Ricardo Tormo,125cc,Aprilia,IT,Simone Corsi,2008,125cc,ITALY
Circuit Ricardo Tormo,250cc,Gilera,IT,Marco Simoncelli,2008,250cc,ITALY
Circuit Ricardo Tormo,MotoGP™,Ducati,AU,Casey Stoner,2008,MotoGP,AUSTRALIA
Sepang International Circuit,250cc,Aprilia,ES,Alvaro Bautista,2008,250cc,SPAIN
Sepang International Circuit,MotoGP™,Yamaha,IT,Valentino Rossi,2008,MotoGP,ITALY
Sepang International Circuit,125cc,Aprilia,HU,Gabor Talmacsi,2008,125cc,HUNGARY
Phillip Island,MotoGP™,Ducati,AU,Casey Stoner,2008,MotoGP,AUSTRALIA
Phillip Island,250cc,Gilera,IT,Marco Simoncelli,2008,250cc,ITALY
Phillip Island,125cc,Derbi,FR,Mike Di Meglio,2008,125cc,FRANCE
Mobility Resort Motegi,MotoGP™,Yamaha,IT,Valentino Rossi,2008,MotoGP,ITALY
Mobility Resort Motegi,125cc,Aprilia,DE,Stefan Bradl,2008,125cc,GERMANY
Mobility Resort Motegi,250cc,Gilera,IT,Marco Simoncelli,2008,250cc,ITALY
Indianapolis Motor Speedway,125cc,Aprilia,ES,Nicolas Terol,2008,125cc,SPAIN
Indianapolis Motor Speedway,MotoGP™,Yamaha,IT,Valentino Rossi,2008,MotoGP,ITALY
Misano World Circuit Marco Simoncelli,MotoGP™,Yamaha,IT,Valentino Rossi,2008,MotoGP,ITALY
Misano World Circuit Marco Simoncelli,125cc,Aprilia,HU,Gabor Talmacsi,2008,125cc,HUNGARY
Misano World Circuit Marco Simoncelli,250cc,Aprilia,ES,Alvaro Bautista,2008,250cc,SPAIN
Automotodrom Brno,MotoGP™,Yamaha,IT,Valentino Rossi,2008,MotoGP,ITALY
Automotodrom Brno,125cc,Aprilia,DE,Stefan Bradl,2008,125cc,GERMANY
Automotodrom Brno,250cc,Aprilia,ES,Alex Debon,2008,250cc,SPAIN
Mazda Raceway,MotoGP™,Yamaha,IT,Valentino Rossi,2008,MotoGP,ITALY
Sachsenring,MotoGP™,Ducati,AU,Casey Stoner,2008,MotoGP,AUSTRALIA
Sachsenring,250cc,Gilera,IT,Marco Simoncelli,2008,250cc,ITALY
Sachsenring,125cc,Derbi,FR,Mike Di Meglio,2008,125cc,FRANCE
TT Circuit Assen,125cc,Aprilia,HU,Gabor Talmacsi,2008,125cc,HUNGARY
TT Circuit Assen,MotoGP™,Ducati,AU,Casey Stoner,2008,MotoGP,AUSTRALIA
TT Circuit Assen,250cc,Aprilia,ES,Alvaro Bautista,2008,250cc,SPAIN
Donington Park,MotoGP™,Ducati,AU,Casey Stoner,2008,MotoGP,AUSTRALIA
Donington Park,250cc,KTM,FI,Mika Kallio,2008,250cc,FINLAND
Donington Park,125cc,Aprilia,GB,Scott Redding,2008,125cc,GREAT BRITAIN
Circuit de Barcelona-Catalunya,125cc,Derbi,FR,Mike Di Meglio,2008,125cc,FRANCE
Circuit de Barcelona-Catalunya,MotoGP™,Honda,ES,Dani Pedrosa,2008,MotoGP,SPAIN
Circuit de Barcelona-Catalunya,250cc,Gilera,IT,Marco Simoncelli,2008,250cc,ITALY
Autodromo Internazionale del Mugello,125cc,Aprilia,IT,Simone Corsi,2008,125cc,ITALY
Autodromo Internazionale del Mugello,250cc,Gilera,IT,Marco Simoncelli,2008,250cc,ITALY
Autodromo Internazionale del Mugello,MotoGP™,Yamaha,IT,Valentino Rossi,2008,MotoGP,ITALY
Le Mans,250cc,Aprilia,ES,Alex Debon,2008,250cc,SPAIN
Le Mans,MotoGP™,Yamaha,IT,Valentino Rossi,2008,MotoGP,ITALY
Le Mans,125cc,Derbi,FR,Mike Di Meglio,2008,125cc,FRANCE
Shanghai Circuit,250cc,KTM,FI,Mika Kallio,2008,250cc,FINLAND
Shanghai Circuit,MotoGP™,Yamaha,IT,Valentino Rossi,2008,MotoGP,ITALY
Shanghai Circuit,125cc,Aprilia,IT,Andrea Iannone,2008,125cc,ITALY
Estoril Circuit,125cc,Aprilia,IT,Simone Corsi,2008,125cc,ITALY
Estoril Circuit,MotoGP™,Yamaha,ES,Jorge Lorenzo,2008,MotoGP,SPAIN
Estoril Circuit,250cc,Aprilia,ES,Alvaro Bautista,2008,250cc,SPAIN
Circuito de Jerez - Angel Nieto,250cc,KTM,FI,Mika Kallio,2008,250cc,FINLAND
Circuito de Jerez - Angel Nieto,125cc,Aprilia,IT,Simone Corsi,2008,125cc,ITALY
Circuito de Jerez - Angel Nieto,MotoGP™,Honda,ES,Dani Pedrosa,2008,MotoGP,SPAIN
Lusail International Circuit,125cc,Aprilia,ES,Sergio Gadea,2008,125cc,SPAIN
Lusail International Circuit,250cc,Aprilia,IT,Mattia Pasini,2008,250cc,ITALY
Lusail International Circuit,MotoGP™,Ducati,AU,Casey Stoner,2008,MotoGP,AUSTRALIA
Circuit Ricardo Tormo,MotoGP™,Honda,ES,Dani Pedrosa,2007,MotoGP,SPAIN
Circuit Ricardo Tormo,125cc,Aprilia,ES,Hector Faubel,2007,125cc,SPAIN
Circuit Ricardo Tormo,250cc,KTM,FI,Mika Kallio,2007,250cc,FINLAND
Sepang International Circuit,MotoGP™,Ducati,AU,Casey Stoner,2007,MotoGP,AUSTRALIA
Sepang International Circuit,125cc,Aprilia,HU,Gabor Talmacsi,2007,125cc,HUNGARY
Sepang International Circuit,250cc,KTM,JP,Hiroshi Aoyama,2007,250cc,JAPAN
Phillip Island,250cc,Aprilia,ES,Jorge Lorenzo,2007,250cc,SPAIN
Phillip Island,125cc,Derbi,CZ,Lukas Pesek,2007,125cc,CZECH REPUBLIC
Phillip Island,MotoGP™,Ducati,AU,Casey Stoner,2007,MotoGP,AUSTRALIA
Mobility Resort Motegi,250cc,KTM,FI,Mika Kallio,2007,250cc,FINLAND
Mobility Resort Motegi,125cc,Aprilia,IT,Mattia Pasini,2007,125cc,ITALY
Mobility Resort Motegi,MotoGP™,Ducati,IT,Loris Capirossi,2007,MotoGP,ITALY
Estoril Circuit,MotoGP™,Yamaha,IT,Valentino Rossi,2007,MotoGP,ITALY
Estoril Circuit,125cc,Aprilia,ES,Hector Faubel,2007,125cc,SPAIN
Estoril Circuit,250cc,Aprilia,ES,Alvaro Bautista,2007,250cc,SPAIN
Misano World Circuit Marco Simoncelli,250cc,Aprilia,ES,Jorge Lorenzo,2007,250cc,SPAIN
Misano World Circuit Marco Simoncelli,125cc,Aprilia,IT,Mattia Pasini,2007,125cc,ITALY
Misano World Circuit Marco Simoncelli,MotoGP™,Ducati,AU,Casey Stoner,2007,MotoGP,AUSTRALIA
Automotodrom Brno,125cc,Aprilia,ES,Hector Faubel,2007,125cc,SPAIN
Automotodrom Brno,250cc,Aprilia,ES,Jorge Lorenzo,2007,250cc,SPAIN
Automotodrom Brno,MotoGP™,Ducati,AU,Casey Stoner,2007,MotoGP,AUSTRALIA
Mazda Raceway,MotoGP™,Ducati,AU,Casey Stoner,2007,MotoGP,AUSTRALIA
Sachsenring,MotoGP™,Honda,ES,Dani Pedrosa,2007,MotoGP,SPAIN
Sachsenring,125cc,Aprilia,HU,Gabor Talmacsi,2007,125cc,HUNGARY
Sachsenring,250cc,KTM,JP,Hiroshi Aoyama,2007,250cc,JAPAN
TT Circuit Assen,MotoGP™,Yamaha,IT,Valentino Rossi,2007,MotoGP,ITALY
TT Circuit Assen,250cc,Aprilia,ES,Jorge Lorenzo,2007,250cc,SPAIN
TT Circuit Assen,125cc,Aprilia,IT,Mattia Pasini,2007,125cc,ITALY
Donington Park,250cc,Honda,IT,Andrea Dovizioso,2007,250cc,ITALY
Donington Park,125cc,Aprilia,IT,Mattia Pasini,2007,125cc,ITALY
Donington Park,MotoGP™,Ducati,AU,Casey Stoner,2007,MotoGP,AUSTRALIA
Circuit de Barcelona-Catalunya,MotoGP™,Ducati,AU,Casey Stoner,2007,MotoGP,AUSTRALIA
Circuit de Barcelona-Catalunya,250cc,Aprilia,ES,Jorge Lorenzo,2007,250cc,SPAIN
Circuit de Barcelona-Catalunya,125cc,KTM,JP,Tomoyoshi Koyama,2007,125cc,JAPAN
Autodromo Internazionale del Mugello,250cc,Aprilia,ES,Alvaro Bautista,2007,250cc,SPAIN
Autodromo Internazionale del Mugello,125cc,Aprilia,ES,Hector Faubel,2007,125cc,SPAIN
Autodromo Internazionale del Mugello,MotoGP™,Yamaha,IT,Valentino Rossi,2007,MotoGP,ITALY
Le Mans,250cc,Aprilia,ES,Jorge Lorenzo,2007,250cc,SPAIN
Le Mans,MotoGP™,Suzuki,AU,Chris Vermeulen,2007,MotoGP,AUSTRALIA
Le Mans,125cc,Aprilia,ES,Sergio Gadea,2007,125cc,SPAIN
Shanghai Circuit,250cc,Aprilia,ES,Jorge Lorenzo,2007,250cc,SPAIN
Shanghai Circuit,125cc,Derbi,CZ,Lukas Pesek,2007,125cc,CZECH REPUBLIC
Shanghai Circuit,MotoGP™,Ducati,AU,Casey Stoner,2007,MotoGP,AUSTRALIA
Istanbul Park Circuit,125cc,Aprilia,IT,Simone Corsi,2007,125cc,ITALY
Istanbul Park Circuit,250cc,Honda,IT,Andrea Dovizioso,2007,250cc,ITALY
Istanbul Park Circuit,MotoGP™,Ducati,AU,Casey Stoner,2007,MotoGP,AUSTRALIA
Circuito de Jerez - Angel Nieto,MotoGP™,Yamaha,IT,Valentino Rossi,2007,MotoGP,ITALY
Circuito de Jerez - Angel Nieto,125cc,Aprilia,HU,Gabor Talmacsi,2007,125cc,HUNGARY
Circuito de Jerez - Angel Nieto,250cc,Aprilia,ES,Jorge Lorenzo,2007,250cc,SPAIN
Lusail International Circuit,125cc,Aprilia,ES,Hector Faubel,2007,125cc,SPAIN
Lusail International Circuit,MotoGP™,Ducati,AU,Casey Stoner,2007,MotoGP,AUSTRALIA
Lusail International Circuit,250cc,Aprilia,ES,Jorge Lorenzo,2007,250cc,SPAIN
Circuit Ricardo Tormo,MotoGP™,Ducati,AU,Troy Bayliss,2006,MotoGP,AUSTRALIA
Circuit Ricardo Tormo,125cc,Aprilia,ES,Hector Faubel,2006,125cc,SPAIN
Circuit Ricardo Tormo,250cc,Aprilia,SM,Alex De Angelis,2006,250cc,SAN MARINO
Estoril Circuit,250cc,Honda,IT,Andrea Dovizioso,2006,250cc,ITALY
Estoril Circuit,MotoGP™,Honda,ES,Toni Elias,2006,MotoGP,SPAIN
Estoril Circuit,125cc,Aprilia,ES,Alvaro Bautista,2006,125cc,SPAIN
Mobility Resort Motegi,250cc,KTM,JP,Hiroshi Aoyama,2006,250cc,JAPAN
Mobility Resort Motegi,MotoGP™,Ducati,IT,Loris Capirossi,2006,MotoGP,ITALY
Mobility Resort Motegi,125cc,KTM,FI,Mika Kallio,2006,125cc,FINLAND
Phillip Island,MotoGP™,Honda,IT,Marco Melandri,2006,MotoGP,ITALY
Phillip Island,125cc,Aprilia,ES,Alvaro Bautista,2006,125cc,SPAIN
Phillip Island,250cc,Aprilia,ES,Jorge Lorenzo,2006,250cc,SPAIN
Sepang International Circuit,MotoGP™,Yamaha,IT,Valentino Rossi,2006,MotoGP,ITALY
Sepang International Circuit,125cc,Aprilia,ES,Alvaro Bautista,2006,125cc,SPAIN
Sepang International Circuit,250cc,Aprilia,ES,Jorge Lorenzo,2006,250cc,SPAIN
Automotodrom Brno,125cc,Aprilia,ES,Alvaro Bautista,2006,125cc,SPAIN
Automotodrom Brno,250cc,Aprilia,ES,Jorge Lorenzo,2006,250cc,SPAIN
Automotodrom Brno,MotoGP™,Ducati,IT,Loris Capirossi,2006,MotoGP,ITALY
Mazda Raceway,MotoGP™,Honda,US,Nicky Hayden,2006,MotoGP,USA
Sachsenring,MotoGP™,Yamaha,IT,Valentino Rossi,2006,MotoGP,ITALY
Sachsenring,250cc,Honda,JP,Yuki Takahashi,2006,250cc,JAPAN
Sachsenring,125cc,Aprilia,IT,Mattia Pasini,2006,125cc,ITALY
Donington Park,MotoGP™,Honda,ES,Dani Pedrosa,2006,MotoGP,SPAIN
Donington Park,125cc,Aprilia,ES,Alvaro Bautista,2006,125cc,SPAIN
Donington Park,250cc,Aprilia,ES,Jorge Lorenzo,2006,250cc,SPAIN
TT Circuit Assen,250cc,Aprilia,ES,Jorge Lorenzo,2006,250cc,SPAIN
TT Circuit Assen,MotoGP™,Honda,US,Nicky Hayden,2006,MotoGP,USA
TT Circuit Assen,125cc,KTM,FI,Mika Kallio,2006,125cc,FINLAND
Circuit de Barcelona-Catalunya,250cc,Honda,IT,Andrea Dovizioso,2006,250cc,ITALY
Circuit de Barcelona-Catalunya,MotoGP™,Yamaha,IT,Valentino Rossi,2006,MotoGP,ITALY
Circuit de Barcelona-Catalunya,125cc,Aprilia,ES,Alvaro Bautista,2006,125cc,SPAIN
Autodromo Internazionale del Mugello,MotoGP™,Yamaha,IT,Valentino Rossi,2006,MotoGP,ITALY
Autodromo Internazionale del Mugello,125cc,Aprilia,IT,Mattia Pasini,2006,125cc,ITALY
Autodromo Internazionale del Mugello,250cc,Aprilia,ES,Jorge Lorenzo,2006,250cc,SPAIN
Le Mans,MotoGP™,Honda,IT,Marco Melandri,2006,MotoGP,ITALY
Le Mans,250cc,Honda,JP,Yuki Takahashi,2006,250cc,JAPAN
Le Mans,125cc,Honda,CH,Thomas Luthi,2006,125cc,SWITZERLAND
Shanghai Circuit,125cc,KTM,FI,Mika Kallio,2006,125cc,FINLAND
Shanghai Circuit,MotoGP™,Honda,ES,Dani Pedrosa,2006,MotoGP,SPAIN
Shanghai Circuit,250cc,Aprilia,ES,Hector Barbera,2006,250cc,SPAIN
Istanbul Park Circuit,MotoGP™,Honda,IT,Marco Melandri,2006,MotoGP,ITALY
Istanbul Park Circuit,250cc,KTM,JP,Hiroshi Aoyama,2006,250cc,JAPAN
Istanbul Park Circuit,125cc,Aprilia,ES,Hector Faubel,2006,125cc,SPAIN
Lusail International Circuit,125cc,Aprilia,ES,Alvaro Bautista,2006,125cc,SPAIN
Lusail International Circuit,MotoGP™,Yamaha,IT,Valentino Rossi,2006,MotoGP,ITALY
Lusail International Circuit,250cc,Aprilia,ES,Jorge Lorenzo,2006,250cc,SPAIN
Circuito de Jerez - Angel Nieto,MotoGP™,Ducati,IT,Loris Capirossi,2006,MotoGP,ITALY
Circuito de Jerez - Angel Nieto,250cc,Aprilia,ES,Jorge Lorenzo,2006,250cc,SPAIN
Circuito de Jerez - Angel Nieto,125cc,Aprilia,ES,Alvaro Bautista,2006,125cc,SPAIN
Circuit Ricardo Tormo,MotoGP™,Honda,IT,Marco Melandri,2005,MotoGP,ITALY
Circuit Ricardo Tormo,250cc,Honda,ES,Dani Pedrosa,2005,250cc,SPAIN
Circuit Ricardo Tormo,125cc,KTM,FI,Mika Kallio,2005,125cc,FINLAND
Istanbul Park Circuit,125cc,Honda,FR,Mike Di Meglio,2005,125cc,FRANCE
Istanbul Park Circuit,250cc,Aprilia,AU,Casey Stoner,2005,250cc,AUSTRALIA
Istanbul Park Circuit,MotoGP™,Honda,IT,Marco Melandri,2005,MotoGP,ITALY
Phillip Island,MotoGP™,Yamaha,IT,Valentino Rossi,2005,MotoGP,ITALY
Phillip Island,250cc,Honda,ES,Dani Pedrosa,2005,250cc,SPAIN
Phillip Island,125cc,Honda,CH,Thomas Luthi,2005,125cc,SWITZERLAND
Lusail International Circuit,250cc,Aprilia,AU,Casey Stoner,2005,250cc,AUSTRALIA
Lusail International Circuit,125cc,KTM,HU,Gabor Talmacsi,2005,125cc,HUNGARY
Lusail International Circuit,MotoGP™,Yamaha,IT,Valentino Rossi,2005,MotoGP,ITALY
Sepang International Circuit,125cc,Honda,CH,Thomas Luthi,2005,125cc,SWITZERLAND
Sepang International Circuit,250cc,Aprilia,AU,Casey Stoner,2005,250cc,AUSTRALIA
Sepang International Circuit,MotoGP™,Ducati,IT,Loris Capirossi,2005,MotoGP,ITALY
Mobility Resort Motegi,MotoGP™,Ducati,IT,Loris Capirossi,2005,MotoGP,ITALY
Mobility Resort Motegi,250cc,Honda,JP,Hiroshi Aoyama,2005,250cc,JAPAN
Mobility Resort Motegi,125cc,KTM,FI,Mika Kallio,2005,125cc,FINLAND
Automotodrom Brno,125cc,Honda,CH,Thomas Luthi,2005,125cc,SWITZERLAND
Automotodrom Brno,MotoGP™,Yamaha,IT,Valentino Rossi,2005,MotoGP,ITALY
Automotodrom Brno,250cc,Honda,ES,Dani Pedrosa,2005,250cc,SPAIN
Sachsenring,125cc,KTM,FI,Mika Kallio,2005,125cc,FINLAND
Sachsenring,MotoGP™,Yamaha,IT,Valentino Rossi,2005,MotoGP,ITALY
Sachsenring,250cc,Honda,ES,Dani Pedrosa,2005,250cc,SPAIN
Donington Park,125cc,KTM,ES,Julian Simon,2005,125cc,SPAIN
Donington Park,MotoGP™,Yamaha,IT,Valentino Rossi,2005,MotoGP,ITALY
Donington Park,250cc,Aprilia,FR,Randy De Puniet,2005,250cc,FRANCE
Mazda Raceway,MotoGP™,Honda,US,Nicky Hayden,2005,MotoGP,USA
TT Circuit Assen,MotoGP™,Yamaha,IT,Valentino Rossi,2005,MotoGP,ITALY
TT Circuit Assen,125cc,KTM,HU,Gabor Talmacsi,2005,125cc,HUNGARY
TT Circuit Assen,250cc,Aprilia,AR,Sebastian Porto,2005,250cc,ARGENTINA
Circuit de Barcelona-Catalunya,250cc,Honda,ES,Dani Pedrosa,2005,250cc,SPAIN
Circuit de Barcelona-Catalunya,MotoGP™,Yamaha,IT,Valentino Rossi,2005,MotoGP,ITALY
Circuit de Barcelona-Catalunya,125cc,Aprilia,IT,Mattia Pasini,2005,125cc,ITALY
Autodromo Internazionale del Mugello,MotoGP™,Yamaha,IT,Valentino Rossi,2005,MotoGP,ITALY
Autodromo Internazionale del Mugello,250cc,Honda,ES,Dani Pedrosa,2005,250cc,SPAIN
Autodromo Internazionale del Mugello,125cc,KTM,HU,Gabor Talmacsi,2005,125cc,HUNGARY
Le Mans,MotoGP™,Yamaha,IT,Valentino Rossi,2005,MotoGP,ITALY
Le Mans,125cc,Honda,CH,Thomas Luthi,2005,125cc,SWITZERLAND
Le Mans,250cc,Honda,ES,Dani Pedrosa,2005,250cc,SPAIN
Shanghai Circuit,250cc,Aprilia,AU,Casey Stoner,2005,250cc,AUSTRALIA
Shanghai Circuit,125cc,Aprilia,IT,Mattia Pasini,2005,125cc,ITALY
Shanghai Circuit,MotoGP™,Yamaha,IT,Valentino Rossi,2005,MotoGP,ITALY
Estoril Circuit,250cc,Aprilia,AU,Casey Stoner,2005,250cc,AUSTRALIA
Estoril Circuit,MotoGP™,Honda,BR,Alex Barros,2005,MotoGP,BRAZIL
Estoril Circuit,125cc,KTM,FI,Mika Kallio,2005,125cc,FINLAND
Circuito de Jerez - Angel Nieto,250cc,Honda,ES,Dani Pedrosa,2005,250cc,SPAIN
Circuito de Jerez - Angel Nieto,MotoGP™,Yamaha,IT,Valentino Rossi,2005,MotoGP,ITALY
Circuito de Jerez - Angel Nieto,125cc,Aprilia,IT,Marco Simoncelli,2005,125cc,ITALY
Circuit Ricardo Tormo,MotoGP™,Yamaha,IT,Valentino Rossi,2004,MotoGP,ITALY
Circuit Ricardo Tormo,250cc,Honda,ES,Dani Pedrosa,2004,250cc,SPAIN
Circuit Ricardo Tormo,125cc,Aprilia,ES,Hector Barbera,2004,125cc,SPAIN
Phillip Island,125cc,Honda,IT,Andrea Dovizioso,2004,125cc,ITALY
Phillip Island,MotoGP™,Yamaha,IT,Valentino Rossi,2004,MotoGP,ITALY
Phillip Island,250cc,Aprilia,AR,Sebastian Porto,2004,250cc,ARGENTINA
Sachsenring,250cc,Honda,ES,Dani Pedrosa,2004,250cc,SPAIN
Nelson Piquet,250cc,Aprilia,SM,Manuel Poggiali,2004,250cc,SAN MARINO
Nelson Piquet,125cc,Aprilia,ES,Hector Barbera,2004,125cc,SPAIN
Nelson Piquet,MotoGP™,Honda,JP,Makoto Tamada,2004,MotoGP,JAPAN
TT Circuit Assen,250cc,Aprilia,AR,Sebastian Porto,2004,250cc,ARGENTINA
TT Circuit Assen,MotoGP™,Yamaha,IT,Valentino Rossi,2004,MotoGP,ITALY
TT Circuit Assen,125cc,Derbi,ES,Jorge Lorenzo,2004,125cc,SPAIN
Circuit de Barcelona-Catalunya,MotoGP™,Yamaha,IT,Valentino Rossi,2004,MotoGP,ITALY
Circuit de Barcelona-Catalunya,125cc,Aprilia,ES,Hector Barbera,2004,125cc,SPAIN
Circuit de Barcelona-Catalunya,250cc,Aprilia,FR,Randy De Puniet,2004,250cc,FRANCE
Autodromo Internazionale del Mugello,125cc,Aprilia,IT,Roberto Locatelli,2004,125cc,ITALY
Autodromo Internazionale del Mugello,MotoGP™,Yamaha,IT,Valentino Rossi,2004,MotoGP,ITALY
Autodromo Internazionale del Mugello,250cc,Aprilia,AR,Sebastian Porto,2004,250cc,ARGENTINA
Le Mans,MotoGP™,Honda,ES,Sete Gibernau,2004,MotoGP,SPAIN
Le Mans,125cc,Honda,IT,Andrea Dovizioso,2004,125cc,ITALY
Le Mans,250cc,Honda,ES,Dani Pedrosa,2004,250cc,SPAIN
Circuito de Jerez - Angel Nieto,125cc,Aprilia,IT,Marco Simoncelli,2004,125cc,ITALY
Circuito de Jerez - Angel Nieto,MotoGP™,Honda,ES,Sete Gibernau,2004,MotoGP,SPAIN
Circuito de Jerez - Angel Nieto,250cc,Honda,IT,Roberto Rolfo,2004,250cc,ITALY
Phakisa Freeway,125cc,Honda,IT,Andrea Dovizioso,2004,125cc,ITALY
Phakisa Freeway,MotoGP™,Yamaha,IT,Valentino Rossi,2004,MotoGP,ITALY
Phakisa Freeway,250cc,Honda,ES,Dani Pedrosa,2004,250cc,SPAIN
Circuit Ricardo Tormo,125cc,Aprilia,AU,Casey Stoner,2003,125cc,AUSTRALIA
Circuit Ricardo Tormo,250cc,Aprilia,FR,Randy De Puniet,2003,250cc,FRANCE
Circuit Ricardo Tormo,MotoGP™,Honda,IT,Valentino Rossi,2003,MotoGP,ITALY
Phillip Island,MotoGP™,Honda,IT,Valentino Rossi,2003,MotoGP,ITALY
Phillip Island,250cc,Honda,IT,Roberto Rolfo,2003,250cc,ITALY
Phillip Island,125cc,Honda,IT,Andrea Ballerini,2003,125cc,ITALY
Sepang International Circuit,250cc,Aprilia,ES,Toni Elias,2003,250cc,SPAIN
Sepang International Circuit,125cc,Honda,ES,Dani Pedrosa,2003,125cc,SPAIN
Sepang International Circuit,MotoGP™,Honda,IT,Valentino Rossi,2003,MotoGP,ITALY
Mobility Resort Motegi,250cc,Aprilia,ES,Toni Elias,2003,250cc,SPAIN
Mobility Resort Motegi,125cc,Aprilia,ES,Hector Barbera,2003,125cc,SPAIN
Mobility Resort Motegi,MotoGP™,Honda,IT,Max Biaggi,2003,MotoGP,ITALY
Nelson Piquet,MotoGP™,Honda,IT,Valentino Rossi,2003,MotoGP,ITALY
Nelson Piquet,250cc,Aprilia,SM,Manuel Poggiali,2003,250cc,SAN MARINO
Nelson Piquet,125cc,Derbi,ES,Jorge Lorenzo,2003,125cc,SPAIN
Estoril Circuit,250cc,Aprilia,ES,Toni Elias,2003,250cc,SPAIN
Estoril Circuit,MotoGP™,Honda,IT,Valentino Rossi,2003,MotoGP,ITALY
Estoril Circuit,125cc,Aprilia,ES,Pablo Nieto,2003,125cc,SPAIN
Automotodrom Brno,MotoGP™,Honda,IT,Valentino Rossi,2003,MotoGP,ITALY
Automotodrom Brno,250cc,Aprilia,FR,Randy De Puniet,2003,250cc,FRANCE
Automotodrom Brno,125cc,Honda,ES,Dani Pedrosa,2003,125cc,SPAIN
Sachsenring,250cc,Honda,IT,Roberto Rolfo,2003,250cc,ITALY
Sachsenring,125cc,Aprilia,IT,Stefano Perugini,2003,125cc,ITALY
Sachsenring,MotoGP™,Honda,ES,Sete Gibernau,2003,MotoGP,SPAIN
